Product,Price,Quantity,Sales,Date,Region
pink morsel,3.0,546.0,1638.0,2018-02-06,north
pink morsel,3.0,549.0,1647.0,2018-02-06,south
pink morsel,3.0,577.0,1731.0,2018-02-06,east
pink morsel,3.0,519.0,1557.0,2018-02-06,west
gold morsel,9.99,580.0,5794.2,2018-02-06,north
gold morsel,9.99,530.0,5294.7,2018-02-06,south
gold morsel,9.99,576.0,5754.24,2018-02-06,east
gold morsel,9.99,580.0,5794.2,2018-02-06,west
magenta morsel,2.5,522.0,1305.0,2018-02-06,north
magenta morsel,2.5,560.0,1400.0,2018-02-06,south
magenta morsel,2.5,583.0,1457.5,2018-02-06,east
magenta morsel,2.5,552.0,1380.0,2018-02-06,west
chartreuse morsel,3.0,543.0,1629.0,2018-02-06,north
chartreuse morsel,3.0,574.0,1722.0,2018-02-06,south
chartreuse morsel,3.0,577.0,1731.0,2018-02-06,east
chartreuse morsel,3.0,503.0,1509.0,2018-02-06,west
periwinkle morsel,1.25,530.0,662.5,2018-02-06,north
periwinkle morsel,1.25,546.0,682.5,2018-02-06,south
periwinkle morsel,1.25,506.0,632.5,2018-02-06,east
periwinkle morsel,1.25,559.0,698.75,2018-02-06,west
vermilion morsel,4.99,533.0,2659.67,2018-02-06,north
vermilion morsel,4.99,568.0,2834.32,2018-02-06,south
vermilion morsel,4.99,556.0,2774.44,2018-02-06,east
vermilion morsel,4.99,573.0,2859.27,2018-02-06,west
lapis morsel,1.99,544.0,1082.56,2018-02-06,north
lapis morsel,1.99,577.0,1148.23,2018-02-06,south
lapis morsel,1.99,532.0,1058.68,2018-02-06,east
lapis morsel,1.99,585.0,1164.15,2018-02-06,west
pink morsel,3.0,529.0,1587.0,2018-02-07,north
pink morsel,3.0,566.0,1698.0,2018-02-07,south
pink morsel,3.0,514.0,1542.0,2018-02-07,east
pink morsel,3.0,545.0,1635.0,2018-02-07,west
gold morsel,9.99,506.0,5054.9400000000005,2018-02-07,north
gold morsel,9.99,512.0,5114.88,2018-02-07,south
gold morsel,9.99,524.0,5234.76,2018-02-07,east
gold morsel,9.99,559.0,5584.41,2018-02-07,west
magenta morsel,2.5,594.0,1485.0,2018-02-07,north
magenta morsel,2.5,596.0,1490.0,2018-02-07,south
magenta morsel,2.5,537.0,1342.5,2018-02-07,east
magenta morsel,2.5,524.0,1310.0,2018-02-07,west
chartreuse morsel,3.0,533.0,1599.0,2018-02-07,north
chartreuse morsel,3.0,547.0,1641.0,2018-02-07,south
chartreuse morsel,3.0,501.0,1503.0,2018-02-07,east
chartreuse morsel,3.0,548.0,1644.0,2018-02-07,west
periwinkle morsel,1.25,573.0,716.25,2018-02-07,north
periwinkle morsel,1.25,545.0,681.25,2018-02-07,south
periwinkle morsel,1.25,578.0,722.5,2018-02-07,east
periwinkle morsel,1.25,504.0,630.0,2018-02-07,west
vermilion morsel,4.99,561.0,2799.3900000000003,2018-02-07,north
vermilion morsel,4.99,581.0,2899.19,2018-02-07,south
vermilion morsel,4.99,550.0,2744.5,2018-02-07,east
vermilion morsel,4.99,506.0,2524.94,2018-02-07,west
lapis morsel,1.99,518.0,1030.82,2018-02-07,north
lapis morsel,1.99,537.0,1068.6299999999999,2018-02-07,south
lapis morsel,1.99,558.0,1110.42,2018-02-07,east
lapis morsel,1.99,536.0,1066.64,2018-02-07,west
pink morsel,3.0,534.0,1602.0,2018-02-08,north
pink morsel,3.0,512.0,1536.0,2018-02-08,south
pink morsel,3.0,501.0,1503.0,2018-02-08,east
pink morsel,3.0,567.0,1701.0,2018-02-08,west
gold morsel,9.99,590.0,5894.1,2018-02-08,north
gold morsel,9.99,501.0,5004.99,2018-02-08,south
gold morsel,9.99,515.0,5144.85,2018-02-08,east
gold morsel,9.99,514.0,5134.86,2018-02-08,west
magenta morsel,2.5,559.0,1397.5,2018-02-08,north
magenta morsel,2.5,550.0,1375.0,2018-02-08,south
magenta morsel,2.5,557.0,1392.5,2018-02-08,east
magenta morsel,2.5,514.0,1285.0,2018-02-08,west
chartreuse morsel,3.0,600.0,1800.0,2018-02-08,north
chartreuse morsel,3.0,542.0,1626.0,2018-02-08,south
chartreuse morsel,3.0,535.0,1605.0,2018-02-08,east
chartreuse morsel,3.0,510.0,1530.0,2018-02-08,west
periwinkle morsel,1.25,504.0,630.0,2018-02-08,north
periwinkle morsel,1.25,529.0,661.25,2018-02-08,south
periwinkle morsel,1.25,579.0,723.75,2018-02-08,east
periwinkle morsel,1.25,511.0,638.75,2018-02-08,west
vermilion morsel,4.99,500.0,2495.0,2018-02-08,north
vermilion morsel,4.99,520.0,2594.8,2018-02-08,south
vermilion morsel,4.99,537.0,2679.63,2018-02-08,east
vermilion morsel,4.99,600.0,2994.0,2018-02-08,west
lapis morsel,1.99,565.0,1124.35,2018-02-08,north
lapis morsel,1.99,501.0,996.99,2018-02-08,south
lapis morsel,1.99,533.0,1060.67,2018-02-08,east
lapis morsel,1.99,500.0,995.0,2018-02-08,west
pink morsel,3.0,586.0,1758.0,2018-02-09,north
pink morsel,3.0,554.0,1662.0,2018-02-09,south
pink morsel,3.0,594.0,1782.0,2018-02-09,east
pink morsel,3.0,505.0,1515.0,2018-02-09,west
gold morsel,9.99,597.0,5964.03,2018-02-09,north
gold morsel,9.99,584.0,5834.16,2018-02-09,south
gold morsel,9.99,553.0,5524.47,2018-02-09,east
gold morsel,9.99,584.0,5834.16,2018-02-09,west
magenta morsel,2.5,594.0,1485.0,2018-02-09,north
magenta morsel,2.5,568.0,1420.0,2018-02-09,south
magenta morsel,2.5,556.0,1390.0,2018-02-09,east
magenta morsel,2.5,579.0,1447.5,2018-02-09,west
chartreuse morsel,3.0,588.0,1764.0,2018-02-09,north
chartreuse morsel,3.0,540.0,1620.0,2018-02-09,south
chartreuse morsel,3.0,543.0,1629.0,2018-02-09,east
chartreuse morsel,3.0,558.0,1674.0,2018-02-09,west
periwinkle morsel,1.25,578.0,722.5,2018-02-09,north
periwinkle morsel,1.25,518.0,647.5,2018-02-09,south
periwinkle morsel,1.25,591.0,738.75,2018-02-09,east
periwinkle morsel,1.25,525.0,656.25,2018-02-09,west
vermilion morsel,4.99,565.0,2819.35,2018-02-09,north
vermilion morsel,4.99,600.0,2994.0,2018-02-09,south
vermilion morsel,4.99,574.0,2864.26,2018-02-09,east
vermilion morsel,4.99,511.0,2549.8900000000003,2018-02-09,west
lapis morsel,1.99,512.0,1018.88,2018-02-09,north
lapis morsel,1.99,540.0,1074.6,2018-02-09,south
lapis morsel,1.99,575.0,1144.25,2018-02-09,east
lapis morsel,1.99,518.0,1030.82,2018-02-09,west
pink morsel,3.0,554.0,1662.0,2018-02-10,north
pink morsel,3.0,519.0,1557.0,2018-02-10,south
pink morsel,3.0,550.0,1650.0,2018-02-10,east
pink morsel,3.0,558.0,1674.0,2018-02-10,west
gold morsel,9.99,509.0,5084.91,2018-02-10,north
gold morsel,9.99,548.0,5474.52,2018-02-10,south
gold morsel,9.99,517.0,5164.83,2018-02-10,east
gold morsel,9.99,523.0,5224.77,2018-02-10,west
magenta morsel,2.5,600.0,1500.0,2018-02-10,north
magenta morsel,2.5,562.0,1405.0,2018-02-10,south
magenta morsel,2.5,576.0,1440.0,2018-02-10,east
magenta morsel,2.5,511.0,1277.5,2018-02-10,west
chartreuse morsel,3.0,591.0,1773.0,2018-02-10,north
chartreuse morsel,3.0,569.0,1707.0,2018-02-10,south
